Year,data.Baumscheibenpatenschaften,Value
2010,data.new,0
2010,data.tot,0
2011,data.new,4
2011,data.tot,4
2012,data.new,1
2012,data.tot,5
2013,data.new,3
2013,data.tot,8
2014,data.new,4
2014,data.tot,12
2015,data.new,4
2015,data.tot,16
2016,data.new,1
2016,data.tot,17
2017,data.new,4
2017,data.tot,21
2018,data.new,2
2018,data.tot,23
2019,data.new,34
2019,data.tot,57
2020,data.new,33
2020,data.tot,90
2021,data.new,15
2021,data.tot,105
2022,data.new,31
2022,data.tot,136
2023,data.new,41
2023,data.tot,174
