Year,Öffentliche Grünflächen,Value
2019,Grün- und Erholungsanlagen (inkl. Spielplätze),355
2019,Kleingärten,400
2019,Friedhöfe,80
2019,Straßengrün,158
2019,Summe öffentliche Grünflächen,993
2022,Grün- und Erholungsanlagen (inkl. Spielplätze),358
2022,Kleingärten,400
2022,Friedhöfe,80
2022,Straßengrün,162
2022,Summe öffentliche Grünflächen,1000
2024,Grün- und Erholungsanlagen (inkl. Spielplätze),356
2024,Kleingärten,397
2024,Friedhöfe,79
2024,Straßengrün,171
2024,Summe öffentliche Grünflächen,1003
