Year,Gefährdungskategorien,Value
2013,Ausgestorben oder verschollen,7
2013,Vom Aussterben bedroht,0
2013,Stark gefährdet,2
2013,Gefährdet,4
2013,Gefährdung unbekannten Ausmaßes,0
2013,Extrem selten,1
2013,Vorwarnliste,4
2013,Ungefährdet,17
2013,Daten unzureichend,0
2013,Nicht bewertet,0
2019,Ausgestorben oder verschollen,7
2019,Vom Aussterben bedroht,0
2019,Stark gefährdet,2
2019,Gefährdet,4
2019,Gefährdung unbekannten Ausmaßes,0
2019,Extrem selten,1
2019,Vorwarnliste,4
2019,Ungefährdet,17
2019,Daten unzureichend,0
2019,Nicht bewertet,0
2023,Ausgestorben oder verschollen,8
2023,Vom Aussterben bedroht,2
2023,Stark gefährdet,4
2023,Gefährdet,3
2023,Gefährdung unbekannten Ausmaßes,0
2023,Extrem selten,1
2023,Vorwarnliste,4
2023,Ungefährdet,15
2023,Daten unzureichend,0
2023,Nicht bewertet,0
