Year,Standort,Value
2009,Öffentlicher Raum,0
2009,Öffentlich zugänglich - auf privatem Grund,0
2009,Gesamt,0
2010,Öffentlicher Raum,0
2010,Öffentlich zugänglich - auf privatem Grund,0
2010,Gesamt,0
2011,Öffentlicher Raum,0
2011,Öffentlich zugänglich - auf privatem Grund,0
2011,Gesamt,0
2012,Öffentlicher Raum,0
2012,Öffentlich zugänglich - auf privatem Grund,0
2012,Gesamt,0
2013,Öffentlicher Raum,0
2013,Öffentlich zugänglich - auf privatem Grund,0
2013,Gesamt,0
2014,Öffentlicher Raum,0
2014,Öffentlich zugänglich - auf privatem Grund,0
2014,Gesamt,0
2015,Öffentlicher Raum,0
2015,Öffentlich zugänglich - auf privatem Grund,1
2015,Gesamt,1
2016,Öffentlicher Raum,5
2016,Öffentlich zugänglich - auf privatem Grund,1
2016,Gesamt,6
2017,Öffentlicher Raum,7
2017,Öffentlich zugänglich - auf privatem Grund,5
2017,Gesamt,12
2018,Öffentlicher Raum,8
2018,Öffentlich zugänglich - auf privatem Grund,7
2018,Gesamt,15
2019,Öffentlicher Raum,9
2019,Öffentlich zugänglich - auf privatem Grund,12
2019,Gesamt,21
2020,Öffentlicher Raum,16
2020,Öffentlich zugänglich - auf privatem Grund,23
2020,Gesamt,39
2021,Öffentlicher Raum,16
2021,Öffentlich zugänglich - auf privatem Grund,33
2021,Gesamt,49
2022,Öffentlicher Raum,16
2022,Öffentlich zugänglich - auf privatem Grund,39
2022,Gesamt,55
2023,Öffentlicher Raum,70
2023,Öffentlich zugänglich - auf privatem Grund,52
2023,Gesamt,122
