Year,Red List Categories,Value
2013,Extinct or Lost,7
2013,Threatened with Extinction,0
2013,Highly Threatened,2
2013,Threatened,4
2013,Threat of Unknown Extent,0
2013,Extremely Rare,1
2013,Near Threatened,4
2013,Not Threatened,17
2013,Data Deficient,0
2013,Not Evaluated,0
2019,Extinct or Lost,7
2019,Threatened with Extinction,0
2019,Highly Threatened,2
2019,Threatened,4
2019,Threat of Unknown Extent,0
2019,Extremely Rare,1
2019,Near Threatened,4
2019,Not Threatened,17
2019,Data Deficient,0
2019,Not Evaluated,0
2023,Extinct or Lost,8
2023,Threatened with Extinction,2
2023,Highly Threatened,4
2023,Threatened,3
2023,Threat of Unknown Extent,0
2023,Extremely Rare,1
2023,Near Threatened,4
2023,Not Threatened,15
2023,Data Deficient,0
2023,Not Evaluated,0
