Year,Category,Value
2015-2018,Excellent,11
2015-2018,Good,0
2015-2018,Sufficient,0
2015-2018,Poor,0
2016-2019,Excellent,11
2016-2019,Good,0
2016-2019,Sufficient,0
2016-2019,Poor,0
2017-2020,Excellent,11
2017-2020,Good,0
2017-2020,Sufficient,0
2017-2020,Poor,0
2018-2021,Excellent,11
2018-2021,Good,0
2018-2021,Sufficient,0
2018-2021,Poor,0
2019-2022,Excellent,11
2019-2022,Good,0
2019-2022,Sufficient,0
2019-2022,Poor,0
2020-2023,Excellent,11
2020-2023,Good,0
2020-2023,Sufficient,0
2020-2023,Poor,0
