Year,Ortsteil,District,GeoCode,Value
2024,Alt-Treptow,Treptow-Köpenick,re_ortsteil.0901,3
2024,Plänterwald,Treptow-Köpenick,re_ortsteil.0902,1
2024,Baumschulenweg,Treptow-Köpenick,re_ortsteil.0903,2
2024,Johannisthal,Treptow-Köpenick,re_ortsteil.0904,0
2024,Niederschöneweide,Treptow-Köpenick,re_ortsteil.0905,0
2024,Altglienicke,Treptow-Köpenick,re_ortsteil.0906,0
2024,Adlershof,Treptow-Köpenick,re_ortsteil.0907,0
2024,Bohnsdorf,Treptow-Köpenick,re_ortsteil.0908,0
2024,Oberschöneweide,Treptow-Köpenick,re_ortsteil.0909,3
2024,Köpenick,Treptow-Köpenick,re_ortsteil.0910,2
2024,Friedrichshagen,Treptow-Köpenick,re_ortsteil.0911,1
2024,Rahnsdorf,Treptow-Köpenick,re_ortsteil.0912,0
2024,Grünau,Treptow-Köpenick,re_ortsteil.0913,2
2024,Müggelheim,Treptow-Köpenick,re_ortsteil.0914,0
2024,Schmöckwitz,Treptow-Köpenick,re_ortsteil.0915,0
2023,Alt-Treptow,Treptow-Köpenick,re_ortsteil.0901,3
2023,Plänterwald,Treptow-Köpenick,re_ortsteil.0902,1
2023,Baumschulenweg,Treptow-Köpenick,re_ortsteil.0903,2
2023,Johannisthal,Treptow-Köpenick,re_ortsteil.0904,0
2023,Niederschöneweide,Treptow-Köpenick,re_ortsteil.0905,0
2023,Altglienicke,Treptow-Köpenick,re_ortsteil.0906,0
2023,Adlershof,Treptow-Köpenick,re_ortsteil.0907,0
2023,Bohnsdorf,Treptow-Köpenick,re_ortsteil.0908,0
2023,Oberschöneweide,Treptow-Köpenick,re_ortsteil.0909,2
2023,Köpenick,Treptow-Köpenick,re_ortsteil.0910,2
2023,Friedrichshagen,Treptow-Köpenick,re_ortsteil.0911,1
2023,Rahnsdorf,Treptow-Köpenick,re_ortsteil.0912,0
2023,Grünau,Treptow-Köpenick,re_ortsteil.0913,1
2023,Müggelheim,Treptow-Köpenick,re_ortsteil.0914,0
2023,Schmöckwitz,Treptow-Köpenick,re_ortsteil.0915,0
2022,Alt-Treptow,Treptow-Köpenick,re_ortsteil.0901,3
2022,Plänterwald,Treptow-Köpenick,re_ortsteil.0902,1
2022,Baumschulenweg,Treptow-Köpenick,re_ortsteil.0903,2
2022,Johannisthal,Treptow-Köpenick,re_ortsteil.0904,0
2022,Niederschöneweide,Treptow-Köpenick,re_ortsteil.0905,0
2022,Altglienicke,Treptow-Köpenick,re_ortsteil.0906,0
2022,Adlershof,Treptow-Köpenick,re_ortsteil.0907,0
2022,Bohnsdorf,Treptow-Köpenick,re_ortsteil.0908,0
2022,Oberschöneweide,Treptow-Köpenick,re_ortsteil.0909,2
2022,Köpenick,Treptow-Köpenick,re_ortsteil.0910,2
2022,Friedrichshagen,Treptow-Köpenick,re_ortsteil.0911,1
2022,Rahnsdorf,Treptow-Köpenick,re_ortsteil.0912,0
2022,Grünau,Treptow-Köpenick,re_ortsteil.0913,1
2022,Müggelheim,Treptow-Köpenick,re_ortsteil.0914,0
2022,Schmöckwitz,Treptow-Köpenick,re_ortsteil.0915,0
2021,Alt-Treptow,Treptow-Köpenick,re_ortsteil.0901,3
2021,Plänterwald,Treptow-Köpenick,re_ortsteil.0902,1
2021,Baumschulenweg,Treptow-Köpenick,re_ortsteil.0903,2
2021,Johannisthal,Treptow-Köpenick,re_ortsteil.0904,0
2021,Niederschöneweide,Treptow-Köpenick,re_ortsteil.0905,0
2021,Altglienicke,Treptow-Köpenick,re_ortsteil.0906,0
2021,Adlershof,Treptow-Köpenick,re_ortsteil.0907,0
2021,Bohnsdorf,Treptow-Köpenick,re_ortsteil.0908,0
2021,Oberschöneweide,Treptow-Köpenick,re_ortsteil.0909,2
2021,Köpenick,Treptow-Köpenick,re_ortsteil.0910,2
2021,Friedrichshagen,Treptow-Köpenick,re_ortsteil.0911,1
2021,Rahnsdorf,Treptow-Köpenick,re_ortsteil.0912,0
2021,Grünau,Treptow-Köpenick,re_ortsteil.0913,1
2021,Müggelheim,Treptow-Köpenick,re_ortsteil.0914,0
2021,Schmöckwitz,Treptow-Köpenick,re_ortsteil.0915,0
