Year,Power class,Value
2000,<30 kW,51
2000,>30 - 40 kW,0
2000,>40 - 100 kW,0
2000,>100 - 750 kW,0
2000,>750 kW,0
2001,<30 kW,67
2001,>30 - 40 kW,0
2001,>40 - 100 kW,0
2001,>100 - 750 kW,0
2001,>750 kW,0
2002,<30 kW,71
2002,>30 - 40 kW,0
2002,>40 - 100 kW,0
2002,>100 - 750 kW,0
2002,>750 kW,0
2003,<30 kW,73
2003,>30 - 40 kW,0
2003,>40 - 100 kW,0
2003,>100 - 750 kW,0
2003,>750 kW,0
2004,<30 kW,90
2004,>30 - 40 kW,0
2004,>40 - 100 kW,0
2004,>100 - 750 kW,0
2004,>750 kW,0
2005,<30 kW,119
2005,>30 - 40 kW,0
2005,>40 - 100 kW,1
2005,>100 - 750 kW,0
2005,>750 kW,0
2006,<30 kW,146
2006,>30 - 40 kW,1
2006,>40 - 100 kW,2
2006,>100 - 750 kW,0
2006,>750 kW,0
2007,<30 kW,202
2007,>30 - 40 kW,1
2007,>40 - 100 kW,2
2007,>100 - 750 kW,0
2007,>750 kW,0
2008,<30 kW,255
2008,>30 - 40 kW,2
2008,>40 - 100 kW,3
2008,>100 - 750 kW,0
2008,>750 kW,0
2009,<30 kW,337
2009,>30 - 40 kW,2
2009,>40 - 100 kW,3
2009,>100 - 750 kW,3
2009,>750 kW,0
2010,<30 kW,453
2010,>30 - 40 kW,5
2010,>40 - 100 kW,5
2010,>100 - 750 kW,5
2010,>750 kW,0
2011,<30 kW,573
2011,>30 - 40 kW,5
2011,>40 - 100 kW,9
2011,>100 - 750 kW,6
2011,>750 kW,0
2012,<30 kW,674
2012,>30 - 40 kW,5
2012,>40 - 100 kW,12
2012,>100 - 750 kW,9
2012,>750 kW,0
2013,<30 kW,750
2013,>30 - 40 kW,5
2013,>40 - 100 kW,16
2013,>100 - 750 kW,11
2013,>750 kW,0
2014,<30 kW,811
2014,>30 - 40 kW,6
2014,>40 - 100 kW,21
2014,>100 - 750 kW,12
2014,>750 kW,0
2015,<30 kW,846
2015,>30 - 40 kW,6
2015,>40 - 100 kW,24
2015,>100 - 750 kW,13
2015,>750 kW,0
2016,<30 kW,897
2016,>30 - 40 kW,6
2016,>40 - 100 kW,25
2016,>100 - 750 kW,14
2016,>750 kW,0
2017,<30 kW,1003
2017,>30 - 40 kW,7
2017,>40 - 100 kW,32
2017,>100 - 750 kW,15
2017,>750 kW,0
2018,<30 kW,1084
2018,>30 - 40 kW,7
2018,>40 - 100 kW,36
2018,>100 - 750 kW,16
2018,>750 kW,0
2019,<30 kW,1199
2019,>30 - 40 kW,8
2019,>40 - 100 kW,39
2019,>100 - 750 kW,16
2019,>750 kW,0
2020,<30 kW,1443
2020,>30 - 40 kW,8
2020,>40 - 100 kW,46
2020,>100 - 750 kW,19
2020,>750 kW,0
2021,<30 kW,1759
2021,>30 - 40 kW,9
2021,>40 - 100 kW,61
2021,>100 - 750 kW,20
2021,>750 kW,0
2022,<30 kW,2348
2022,>30 - 40 kW,13
2022,>40 - 100 kW,68
2022,>100 - 750 kW,24
2022,>750 kW,0
2023,<30 kW,4008
2023,>30 - 40 kW,13
2023,>40 - 100 kW,84
2023,>100 - 750 kW,33
2023,>750 kW,0
2024,<30 kW,6190
2024,>30 - 40 kW,22
2024,>40 - 100 kW,133
2024,>100 - 750 kW,46
2024,>750 kW,1
