Year,data.availability,Value
2021,10 Mbit/s,100.0
2021,16 Mbit/s,99.0
2021,30 Mbit/s,97.0
2021,50 Mbit/s,96.0
2021,100 Mbit/s,92.0
2021,200 Mbit/s,89.0
2021,1000 Mbit/s,87.0
2022,10 Mbit/s,99.54
2022,16 Mbit/s,99.54
2022,30 Mbit/s,98.24
2022,50 Mbit/s,98.24
2022,100 Mbit/s,97.4
2022,200 Mbit/s,96.2
2022,1000 Mbit/s,95.29
2023,10 Mbit/s,99.57
2023,16 Mbit/s,99.57
2023,30 Mbit/s,98.94
2023,50 Mbit/s,98.94
2023,100 Mbit/s,98.19
2023,200 Mbit/s,96.61
2023,1000 Mbit/s,95.42
2024,10 Mbit/s,99.47
2024,16 Mbit/s,99.47
2024,30 Mbit/s,98.53
2024,50 Mbit/s,98.53
2024,100 Mbit/s,97.44
2024,200 Mbit/s,94.27
2024,1000 Mbit/s,90.84
